16,8,9,10,11,8,11,8,14,12,13,15,9,14,14,14,2,12,11,9,19,8,9,14,10,14,11,16,13,8,15,14,12,10,13,11,13,9,7,8,6,19,10,10,4,12,12,13,7,8,10,12,12,17,8,16,8,12,14,12,6,13,8,11,14,8,13,9,9,13,14,7,8,12,11,5,16,17,12,9,11,5,11,12,17,11,14,3,10,11,13,18,10,10,14,13,14,12,6,8,11,13,21,19,16,20,26,28,14,16,20,28,22,28,23,20,24,27,17,10,24,23,18,24,22,12,15,16,30,15,23,16,29,26,15,42,33,15,23,19,19,21,10,11,23,18,31,15,22,8,15,22,29,9,32,22,12,22,14,12,22,22,22,23,11,22,19,20,4,26,7,12,17,28,33,29,22,9,27,29,10,19,16,17,18,29,16,24,29,15,26,10,14,22,9,26,12,18,17,18,24,20,25,19,19,19,18,17,23,26,20,30,23,31,17,34,22,19,21,10,30,26,31,23,42,20,32,20,15,15,24,22,25,32,31,23,26,39,19,20,27,25,15,35,29,20,34,20,27,24,26,14,23,27,23,13,21,28,6,29,18,22,14,36,25,27,27,14,16,35,16,11,15,19,8,24,27,34,24,19,25,12,10,15,15,33,16,28,16,26,34,24,30,30,21,21,19,11,36,27,42,23,20,26,23,17,38,38,30,26,9,15,16,11,27,20,32,34,29,29,28,15,25,30,37,25,25,12,34,24,26,43,28,36,24,41,36,14,36,24,19,35,26,18,25,33,30,27,9,24,22,26,25,28,18,42,34,38,22,19,28,36,24,27,23,21,15,9,29,32,35,27,19,32,41,28,12,38,29,32,24,33,24,9,29,30,23,34,32,24,26,19,33,29,32,28,13,34,26,23,30,18,37,23,27,23,26,31,8,26,35,38,32,25,10,11,41,36,14,32,24,25,11,37,27,9,33,37,16,20,23,20,46,21,22,19,22,35,18,27,34,19,32,18,23,21,30,26,22,34,21,31,38,27,22,26,18,27,29,19,36,35,15,32,26,34,35,32,30,35,23,24,45,24,14,33,40,27,33,18,34,23,29,32,34,23,38,24,19,30,11,26,31,31,23,33,25,28,29,14
2,3,2,2,1,2,1,3,2,2,1,2,5,2,4,1,1,2,3,2,2,1,4,2,0,3,4,4,3,2,5,2,0,1,0,4,4,1,1,0,1,2,2,2,2,3,4,2,4,2,0,6,1,2,3,2,2,0,4,0,4,2,3,1,2,6,4,3,3,2,1,2,3,3,1,3,3,1,3,3,3,2,3,3,1,4,3,2,2,5,3,2,3,5,3,1,3,4,5,4,3,1,0,5,0,1,3,1,1,2,1,4,3,2,2,4,1,1,0,2,2,1,3,3,3,1,3,0,1,7,1,1,0,4,1,3,0,4,0,0,0,1,1,2,1,1,1,2,2,2,4,2,4,3,3,2,2,2,1,4,3,2,1,4,3,2,4,5,1,1,5,0,0,0,1,1,4,4,3,1,2,2,1,1,2,0,2,2,3,3,1,6,5,1,4,1,3,2,3,2,2,0,0,2,0,1,0,0,1,1,2,2,0,2,2,0,1,1,1,1,0,0,1,0,1,3,0,0,0,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,2,2,0,0,0,1,1,2,2,4,5,1,0,0,1,0,3,1,0,1,6,0,4,0,0,1,0,3,0,0,2,3,3,2,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,6,3,0,2,6,0,1,1,1,6,5,2,1,1,2,3,4,5,2,4,3,5,4,2,7,5,2,3,2,3,2,3,2,3,3,3,4,1,6,6,7,5,3,6,2,3,1,3,2,3,2,2,3,1,1,3,4,3,4,4,3,4,0,2,2,2,4,3,2,3,4,4,4,5,2,3,3,2,3,5,6,3,6,3,2,4,4,1,1,2,6,4,1,3,7,8,4,3
7,7,11,7,7,8,6,7,7,6,7,11,8,7,10,11,5,4,10,10,8,6,6,5,12,6,7,6,14,5,8,3,6,9,10,2,7,9,5,5,6,5,11,3,8,5,5,5,5,8,6,5,8,3,10,3,11,5,10,9,3,8,7,7,6,4,7,8,6,9,10,6,8,3,6,11,3,6,7,7,9,4,6,3,11,6,5,9,10,6,8,2,5,8,11,4,9,3,8,5,7,18,12,13,21,11,12,14,15,9,17,13,8,13,11,11,7,11,8,7,7,14,16,16,17,11,9,8,17,5,7,17,18,16,5,11,19,4,8,17,7,8,8,6,15,8,8,10,10,9,9,8,9,9,12,13,10,8,12,6,2,11,10,13,5,10,11,12,7,13,8,8,7,11,13,15,10,10,17,10,7,13,11,17,10,15,12,12,20,13,12,7,7,14,9,17,6,9,7,15,16,15,21,15,10,8,20,11,24,16,13,16,22,25,8,10,10,18,16,4,15,20,24,16,24,17,21,6,11,12,18,10,18,18,16,10,17,15,27,12,19,13,17,10,16,14,19,10,13,14,12,6,9,16,21,14,21,12,6,25,4,12,12,24,28,22,6,10,6,17,10,5,5,15,9,17,17,15,7,21,25,15,8,6,4,19,8,33,8,23,15,14,20,14,8,21,24,10,11,22,19,13,22,24,21,9,17,14,16,29,10,15,9,6,25,17,21,17,13,27,23,11,18,25,29,20,22,10,18,10,19,23,29,16,18,7,26,11,17,17,14,20,16,13,24,21,14,19,12,15,23,24,13,18,16,16,20,15,10,19,17,18,21,25,13,5,7,9,17,18,22,15,16,18,19,17,9,14,16,14,19,22,23,12,23,21,17,18,12,11,13,26,18,22,21,9,7,20,21,24,9,15,19,10,11,9,17,15,9,11,16,13,16,9,5,10,21,16,7,14,8,11,8,12,17,5,17,21,15,8,13,11,15,11,6,13,16,7,9,15,20,7,22,8,12,13,12,12,17,16,7,9,7,12,6,13,6,14,10,13,11,17,7,12,15,12,11,14,16,10,13,14,13,10,6,8,11,9,12,9,19,8,17,2,14,13,7,8,14,8,6,15,11,15,5,20,17,17,20,10
2,7,0,6,6,3,4,6,1,1,5,3,1,6,2,3,3,3,3,2,5,5,4,6,3,3,5,5,2,5,6,3,1,5,4,3,5,3,3,2,2,2,5,7,6,7,6,4,7,1,5,3,3,5,4,7,6,3,3,3,2,5,3,3,1,1,3,3,4,5,3,4,5,2,5,0,4,5,5,2,3,2,1,1,3,5,5,5,7,3,2,2,0,4,3,6,7,4,4,4,1,6,7,9,3,4,6,4,4,5,9,6,7,7,9,3,2,4,3,4,5,6,5,2,5,5,5,2,8,6,3,3,8,6,6,10,7,2,6,5,5,6,7,5,9,5,2,4,8,5,13,5,1,6,7,8,5,6,10,6,6,4,5,4,4,7,5,9,2,8,6,1,6,4,4,5,8,6,4,3,4,2,5,4,4,8,8,9,8,6,8,5,3,4,6,7,1,2,3,4,13,17,12,9,4,10,14,8,14,9,12,7,19,16,9,8,7,7,12,5,10,14,19,12,10,6,11,5,11,8,15,6,4,12,16,10,13,6,11,12,14,12,8,18,13,9,23,8,13,15,10,2,7,11,17,14,9,9,6,10,10,5,7,10,14,16,14,13,7,11,8,8,8,11,3,13,13,12,8,13,11,8,1,2,4,13,5,11,3,16,12,9,17,14,11,10,15,5,11,10,16,10,6,9,16,10,19,17,19,13,6,9,8,10,10,8,6,7,8,15,12,5,12,15,16,12,14,8,9,16,10,13,21,13,14,10,8,2,10,8,9,11,15,15,14,18,17,10,7,21,11,12,10,14,10,17,16,9,13,12,12,8,12,11,13,7,2,1,13,12,8,17,15,11,19,20,1,20,23,10,17,19,12,1,10,18,10,14,10,14,10,18,14,13,13,22,7,12,17,8,4,1,2,1,0,6,2,2,8,3,9,0,2,2,5,4,4,0,4,4,5,1,7,0,3,2,3,9,3,1,4,2,3,4,6,2,2,2,3,2,4,6,4,5,5,1,0,6,4,4,6,5,3,3,2,2,8,1,1,10,3,4,7,2,5,4,4,6,4,4,6,3,2,3,5,5,5,2,3,0,4,1,2,4,7,3,3,1,5,0,4,4,4,1,3,3,1,4,0,7
20,17,27,24,21,24,21,21,17,21,31,17,24,17,24,15,18,19,22,21,22,25,15,20,19,20,16,14,18,17,19,25,19,20,15,20,12,18,18,19,19,22,27,24,23,23,17,31,17,17,23,20,17,14,18,26,16,20,22,19,17,21,23,20,16,31,18,17,20,23,17,18,19,17,19,20,13,15,26,15,12,18,17,16,15,19,19,20,20,17,19,13,12,18,23,25,17,22,22,12,19,27,24,36,21,26,19,12,18,21,28,21,23,21,23,30,21,23,21,17,22,28,27,22,26,25,16,11,33,16,24,17,20,26,23,20,20,16,17,21,29,28,19,18,20,22,19,25,20,23,22,31,17,19,19,26,20,19,18,26,18,30,12,19,24,28,22,28,21,26,32,24,17,30,28,16,24,14,20,22,20,22,20,23,22,29,20,20,19,20,22,17,18,22,20,35,19,21,20,23,22,30,45,34,17,23,22,29,23,37,26,26,23,26,24,30,24,23,29,16,25,37,29,36,27,24,42,28,24,27,28,29,30,30,28,34,34,43,29,30,38,30,26,34,37,20,29,26,33,27,37,16,21,28,29,24,28,28,23,30,20,21,23,28,32,31,28,31,21,35,18,21,19,21,20,34,29,37,18,28,37,31,19,18,17,47,19,31,32,36,31,40,25,27,19,33,35,29,28,34,27,31,30,29,43,34,40,48,34,31,10,25,24,26,33,24,28,38,29,33,39,16,45,35,34,38,31,30,32,42,25,33,32,52,28,30,33,28,37,35,30,40,41,33,50,25,30,36,17,38,46,43,23,28,26,29,30,28,24,31,45,28,27,30,30,19,21,20,36,36,39,34,20,25,33,29,22,39,29,28,38,34,46,19,29,38,22,43,22,26,33,35,38,37,40,35,19,33,30,30,23,23,19,16,14,21,17,27,19,20,18,22,15,17,11,19,17,16,13,23,19,15,25,12,12,28,21,20,21,14,20,18,16,17,22,19,14,23,23,22,15,18,18,22,19,20,17,21,20,26,26,26,20,24,26,22,21,18,18,17,27,22,21,12,17,14,21,23,22,30,16,24,22,20,28,20,21,20,25,16,13,21,13,21,22,20,18,18,17,17,13,29,21,25,26,16,19,21,14,27
10,9,30,19,17,20,8,13,25,23,15,23,21,19,18,15,18,15,25,16,18,19,18,14,13,21,22,17,28,22,12,17,26,14,8,17,16,18,16,28,18,21,16,18,23,18,23,16,15,21,24,18,17,16,22,28,19,21,21,14,19,13,24,14,17,12,17,16,25,26,25,22,16,16,13,22,29,21,17,19,16,14,22,22,17,17,21,19,15,13,17,16,21,19,17,17,20,27,17,17,20,24,10,24,10,28,11,24,17,20,14,21,22,17,14,25,19,23,23,16,19,18,18,13,25,18,19,30,20,16,17,11,20,17,20,21,16,19,18,18,19,16,21,11,18,14,14,21,17,17,11,9,17,19,15,27,24,20,16,18,24,30,26,21,18,17,20,21,21,17,20,18,14,21,19,13,25,18,14,17,13,25,19,16,19,18,23,15,17,23,21,22,15,24,21,16,21,19,17,19,11,25,12,21,17,19,12,22,16,16,16,16,17,15,15,13,18,7,13,23,15,23,24,11,16,16,16,17,17,19,12,15,17,15,16,13,14,22,18,18,16,9,20,15,18,16,15,7,20,11,24,14,20,10,10,21,13,14,15,19,20,27,23,20,7,10,24,22,20,16,22,19,23,11,21,19,12,12,11,16,12,14,24,21,27,18,28,12,24,14,10,13,15,11,18,20,17,18,17,13,15,14,18,7,16,22,20,20,12,21,17,16,14,21,12,17,18,12,14,9,17,14,19,12,11,19,13,19,11,14,14,15,22,11,17,11,20,17,15,12,16,10,16,18,19,18,14,24,18,16,12,15,18,16,17,14,11,9,16,17,27,17,17,17,18,21,19,19,26,16,18,16,19,15,13,13,15,12,8,9,17,15,9,14,17,19,18,12,17,9,14,22,10,16,16,16,18,18,12,19,26,17,18,22,17,19,24,16,20,16,20,22,17,18,22,18,24,20,31,15,23,18,25,14,22,23,21,14,18,15,23,21,24,27,20,13,16,20,13,24,21,20,25,17,15,16,14,10,13,19,22,13,22,17,21,22,23,15,21,18,23,21,20,15,22,18,14,19,16,15,12,20,16,22,21,23,19,29,16,17,13,23,24,14,26,25,29,16,32,19,29,21,17,20,21,18,17,16,19,17
21,20,17,22,21,25,11,20,20,18,18,20,17,19,18,21,16,20,18,16,19,19,25,16,16,16,17,17,17,22,21,15,26,25,16,19,15,29,25,21,25,27,20,20,20,17,16,21,18,21,21,15,30,22,23,14,26,21,23,15,23,17,18,13,10,20,25,27,19,16,21,14,20,9,20,20,19,19,22,18,22,21,22,14,10,28,17,26,16,14,20,19,24,24,21,20,18,16,17,20,21,19,20,17,17,22,22,17,18,13,20,23,23,22,22,30,18,27,25,15,25,20,21,27,27,25,18,20,35,22,29,18,22,22,17,23,20,18,20,29,25,21,17,14,19,15,18,14,20,18,29,25,16,22,16,22,20,27,21,20,12,15,26,21,16,24,18,26,17,19,30,27,21,32,22,23,23,11,25,22,17,26,28,20,20,23,22,25,22,16,23,18,24,22,14,14,20,24,24,26,22,30,23,19,29,22,26,22,15,26,34,29,15,29,24,21,24,19,27,31,23,26,30,19,26,18,27,25,31,24,27,16,23,20,28,18,22,30,27,29,31,18,16,24,19,24,28,24,26,29,27,21,21,26,15,19,19,30,23,32,21,19,17,36,33,30,23,22,15,22,16,17,23,16,25,27,28,27,24,28,18,20,19,20,22,23,24,27,14,22,36,37,27,23,20,26,25,27,23,28,27,27,25,31,21,25,20,41,30,27,15,28,16,17,22,18,31,26,27,21,16,24,26,27,32,19,28,19,30,23,19,19,24,30,26,21,26,24,26,19,23,19,24,27,22,27,29,27,16,44,15,31,32,37,25,24,30,18,25,33,22,27,22,15,26,16,19,23,27,30,22,29,29,23,29,25,20,16,26,31,28,29,24,16,28,24,24,25,29,23,23,23,31,27,23,27,20,27,26,36,15,24,19,16,21,26,14,27,22,27,17,17,17,19,17,20,22,12,18,24,17,26,27,21,18,24,20,11,23,22,19,14,24,21,33,14,15,19,19,17,16,16,29,16,22,22,23,14,20,17,17,20,20,22,19,19,21,16,22,21,25,29,37,22,20,19,27,29,29,25,18,19,25,19,19,22,23,15,21,18,24,19,20,24,23,17,20,23,17,30,23,16,22,10,27,26,18,22,18,18
17,16,5,16,11,7,9,7,11,7,19,18,12,19,11,11,15,10,10,11,13,10,11,14,14,17,9,10,10,14,15,17,15,15,14,8,12,12,22,18,15,14,13,14,11,7,11,14,12,16,11,13,8,12,4,21,20,14,7,12,12,15,13,13,13,12,7,11,13,14,12,13,12,11,14,17,10,14,11,9,9,15,15,13,14,14,13,12,11,13,15,11,11,17,15,15,7,15,17,15,12,26,21,16,21,19,24,27,16,11,29,28,20,29,24,19,17,34,18,18,21,23,28,16,24,12,26,12,19,17,22,17,30,25,15,21,20,10,22,30,25,19,14,18,25,19,37,11,35,17,14,31,19,19,25,21,9,22,25,16,13,31,29,16,14,28,18,17,11,21,13,18,15,18,13,34,32,21,30,33,18,23,22,30,21,20,26,19,26,19,31,17,6,26,14,20,15,23,16,21,20,13,16,30,22,15,26,7,25,27,21,13,40,28,20,20,15,13,24,10,26,24,23,25,30,18,25,19,18,18,24,20,27,19,29,23,16,17,29,25,28,22,19,22,26,22,24,14,22,23,36,12,20,16,21,22,20,35,11,25,22,16,15,26,23,28,28,17,28,20,16,15,17,13,15,23,30,25,18,30,24,16,8,13,17,24,12,23,13,23,27,16,32,17,13,27,25,14,19,30,30,30,30,24,26,21,26,31,26,23,19,21,20,10,19,27,27,35,27,21,20,13,34,35,35,21,35,14,27,27,32,35,37,28,25,30,36,15,25,28,19,36,31,21,24,28,22,20,11,21,20,27,17,25,14,21,22,25,21,14,34,28,32,26,23,18,19,8,29,28,34,29,23,29,25,27,16,29,33,30,24,26,25,20,32,24,26,30,21,30,29,29,28,24,24,24,28,26,31,29,32,33,26,31,27,18,33,28,10,10,36,29,38,22,11,13,32,31,19,34,32,39,7,27,34,12,25,28,27,29,23,21,37,32,27,29,19,34,18,30,40,23,28,11,31,35,30,30,25,49,19,30,28,18,29,26,37,23,27,21,37,22,12,25,33,34,37,27,36,44,27,22,35,37,12,12,34,26,30,26,41,31,28,22,26,21,39,20,29,43,17,31,35,32,26,26,39,30,18,15
27,18,25,20,26,26,22,15,18,9,21,22,21,19,22,18,18,11,21,17,20,18,14,14,16,13,23,23,22,22,24,10,21,18,25,18,18,23,32,27,20,18,22,23,23,14,18,16,26,11,19,20,24,21,18,19,19,21,15,22,28,19,22,21,23,30,23,26,19,13,17,15,20,21,22,23,20,15,15,20,22,16,10,18,25,17,12,19,22,17,16,23,13,21,14,17,16,15,16,25,29,32,35,30,27,22,23,28,30,21,30,34,46,29,35,21,26,30,28,24,23,23,31,28,30,25,22,17,43,28,30,20,27,37,25,30,25,31,29,32,40,27,20,22,39,25,36,25,32,18,35,23,25,18,23,33,33,32,32,20,27,32,26,24,21,23,27,16,20,26,27,27,20,37,31,34,30,20,34,28,22,38,37,24,28,33,28,40,40,17,38,22,19,40,17,43,17,34,20,25,45,32,33,27,31,30,24,24,36,37,36,29,35,32,28,28,34,39,35,16,47,30,44,38,43,27,38,17,35,39,34,19,37,44,43,42,43,42,33,41,46,44,33,36,41,38,36,28,39,38,34,18,22,34,31,41,35,45,10,30,31,19,29,20,37,39,28,18,31,38,23,22,31,35,17,44,44,27,27,36,58,39,22,18,20,33,21,29,26,39,47,24,36,56,18,41,31,20,39,45,37,34,33,50,40,37,38,44,37,39,31,35,21,30,38,35,38,41,26,51,36,28,42,44,48,44,42,28,35,40,43,40,40,33,36,56,36,24,47,36,32,58,44,35,45,35,34,41,20,49,41,36,34,38,36,39,39,45,28,27,44,44,41,36,35,34,21,28,31,50,44,40,19,40,41,35,15,46,43,39,34,45,37,14,47,49,45,46,38,32,44,47,34,42,41,35,29,39,44,40,30,38,40,39,17,29,42,31,27,23,39,34,44,26,15,20,25,26,15,31,27,27,21,42,35,18,38,33,19,32,24,25,34,30,32,31,30,33,24,35,33,25,30,20,31,29,28,31,41,41,23,33,34,28,20,40,38,34,29,30,43,32,18,41,36,37,32,32,33,38,31,25,31,26,22,29,43,22,46,26,30,25,42,32,32,29,32,22,31,31,21,27,33,24,26,33,37,31,27,33
3,1,10,8,3,1,5,7,5,4,9,2,3,6,5,1,4,4,0,4,5,5,4,3,4,4,5,5,5,6,8,3,7,9,4,4,1,4,1,5,5,4,3,5,2,6,7,3,4,0,2,6,3,3,9,5,3,4,9,3,4,6,3,9,7,10,6,6,4,5,1,3,1,10,1,10,5,0,3,5,7,4,3,5,1,2,2,5,5,4,6,4,3,6,7,4,5,5,4,4,9,17,14,18,14,15,10,17,11,13,12,17,12,20,11,16,4,18,17,2,14,20,13,16,16,4,9,4,16,3,13,6,15,18,4,12,11,4,14,13,13,5,6,6,23,8,8,7,19,5,12,10,11,5,9,19,8,12,12,8,7,15,14,13,8,19,6,15,3,10,13,11,6,22,13,12,10,11,18,15,15,11,18,15,20,13,11,19,15,8,16,7,1,20,7,12,6,11,10,14,17,11,19,14,12,9,15,4,17,9,12,10,18,13,18,14,19,10,11,7,19,9,27,16,15,8,17,8,14,11,8,9,13,17,13,11,10,16,12,12,19,10,15,13,15,12,13,12,19,15,18,4,9,10,9,12,9,13,4,15,17,14,17,18,20,16,16,6,7,10,9,2,5,16,3,16,19,22,13,17,17,20,3,3,2,22,6,18,5,23,18,17,13,11,7,24,17,10,12,17,14,11,23,18,18,11,15,17,19,16,6,16,17,6,16,18,18,19,15,20,22,3,21,16,20,22,24,13,16,16,20,17,19,15,13,18,21,7,17,24,4,17,23,17,18,23,19,18,1,18,14,17,10,17,8,12,17,23,13,10,20,17,22,17,18,8,9,5,16,16,14,20,11,19,14,11,7,8,23,16,16,15,18,1,12,24,21,18,11,22,24,17,16,12,23,15,11,18,23,15,25,14,16,14,14,6,19,16,4,12,20,18,16,9,7,3,20,21,13,14,16,24,8,18,19,4,20,13,15,13,21,13,16,23,19,19,22,11,12,20,16,10,28,9,13,14,14,15,17,19,11,20,11,12,17,17,13,21,11,17,13,22,9,13,17,24,16,19,11,17,18,15,20,14,3,8,18,18,14,13,20,12,20,19,30,8,19,13,25,15,9,19,19,14,16,21,14,17,27,13
